ZihywtixUYo,https://www.youtube.com/watch?v=ZihywtixUYo,5189,4005145,198960,1257,158.2816229116945,0.99372181183416
TTHazQeM8v8,https://www.youtube.com/watch?v=TTHazQeM8v8,2452,1653636,87567,867,101.0,0.9901960784313726
bUmULlGACEI,https://www.youtube.com/watch?v=bUmULlGACEI,2327,1054509,49235,489,100.68507157464212,0.9901657147453946
b1t41Q3xRM8,https://www.youtube.com/watch?v=b1t41Q3xRM8,697,576344,15078,205,73.55121951219512,0.9865864031930903
mYcLuWHzfmE,https://www.youtube.com/watch?v=mYcLuWHzfmE,1260,437585,20910,290,72.10344827586206,0.9863207547169811
D0-JbxX209g,https://www.youtube.com/watch?v=D0-JbxX209g,3975,3815449,103079,1706,60.42145369284877,0.9837190437562628
dyl5VFFew7E,https://www.youtube.com/watch?v=dyl5VFFew7E,0,0,56,1,56.0,0.9824561403508771
i_CijGuk7fw,https://www.youtube.com/watch?v=i_CijGuk7fw,1028,747241,15806,314,50.33757961783439,0.9805210918114144
RwB-uh-9gzo,https://www.youtube.com/watch?v=RwB-uh-9gzo,522,109880,5871,151,38.88079470198676,0.9749252739953503
pJpOxIksxXU,https://www.youtube.com/watch?v=pJpOxIksxXU,288,237587,8118,252,32.214285714285715,0.9698924731182795
1Xp_imnO6WE,https://www.youtube.com/watch?v=1Xp_imnO6WE,7621,6071327,88289,2824,31.263810198300284,0.9690055206172555
ZM8ECpBuQYE,https://www.youtube.com/watch?v=ZM8ECpBuQYE,4355,3922601,54133,1764,30.68764172335601,0.9684419557400218
CBrsWPCp_rs,https://www.youtube.com/watch?v=CBrsWPCp_rs,7520,8951147,91507,3186,28.721594475831765,0.9663544295776879
H2iOCVGSYdc,https://www.youtube.com/watch?v=H2iOCVGSYdc,333,143207,5834,217,26.88479262672811,0.9641381589819864
yWMKYID5fr8,https://www.youtube.com/watch?v=yWMKYID5fr8,386,630422,8675,374,23.1951871657754,0.9586694662393634
